,positive,neutral,negative
186,Excellent Product,"Quality is so-so, but for such a price it was not worth waiting for something super",It doesn't work. I imagine if it's double output it should work.
187,Everything ok thank you,"And did not receive the order, the seller did not want to return the money until AliExpress interfered",doesn't make noise
188,perfect,"Unfortunately, I can not say anything.
Not arrived parcel",No
189,super,Goods came a whole but very debt 6 weeks Kazakhstan,I took in size I received in s
190,Excellent!,"The milling cutter is good, but the insect does not match. Exactly not red, and not even blue, closer to green, there is vibration. Sensitive clients will be very unhappy.",Times Times jaugé
191,All compatible with description,Milling cutters are very good... sharp... flakes fly big... NOI spinning material at times faster. Thank you.. Recommend.,.
192,Perfect,"The shape of the milling cutter is very convenient, but the milling cutter vibrates strongly, beats on the nail. It's impossible to use. Very upset.",No
193,Ok,Is too big,didn't make noise
194,Excellent quality,Well-received.,No
195,Perfect,Get satisfied,No
196,perfect,I took very long time,Not working
197,Conform to the description,"Not calibrated, there are defective and less than 500 PCs",This device does not match it just whistles very badly I was pounded!!!
198,It's work! Thanks!,Too small,It does not produce the effect of which is expected
199,Great Nothing to report,Good,I do not like just one whistle
200,Very good,"Installed and works fine, whoever the green and yellow lights are with low intensity light, difficult to see.
For that reasons give you only 3 stars. 
The red light is good.",The product not met espequitativa.
201,all ok,"The goods are not quality, the readings lie at 10 cm!!!!",Does not fit my car! Not universal at all
202,Very fast,i made four holes in my beautifull car and guess what.. they didn't fit.. not even a bit.. the drill was to small. now i had to drive around with beautifull holes in my bumper untill i bought another bigger drill in a 15 dollar set. but It was made For Wood without a middle drill so i scratched my bumper here and there..  i was so angry.. why does this f seller not Just send me the right stuff. at the end with the other drill i managed to completely get the sensors in. the products itself work good. it was alot stress So im not happy with This seller but besides the drill size .. the product is good.,He didn't fulfill the x-spective which he bought it.
203,Compliant product,Received the product cardboard crushed in very bad condition,The goods went too long and in no way in advertising
204,Norms,"It didn't last long, I put 3 because I got my money back.",With me not working at Kia Sportage gdi
205,Good quality,My package didnt had the drill head...,Doesn't work.
206,Good quality,ok,No
207,Excellent Product,Caustic costs Okey,No
208,Excellent Product,"At several faces when scrolling a strange sound, as if the spring creaks.
Several faces have a strange sound when scrolling, as if a spring is creaking.",Full shit
209,"While still not tested, you need to check the well pump does not move, there are wheels on the remote adjust the brightness of the backlight, the size of the camera of the cigarette went went and",Is OK,"Whistling, and does nothing ..."
210,"The endoscope corresponds to the description, shows well, sent immediately, delivery fast, thanks to the seller, I recommend",V.,No makes no noise
211,"The image quality is not very, the camera is very heated","It wears off when you open it to put the stack on, but well, otherwise it's fine. Very slow shipping, it's taken me 2 months to arrive or out.",No use has batteries
212,All OK. Works with applique USB camera for Huawei Mate 20 Lite. Fast shipping 3 wks to Poland. Included manual English and the Chinese.,"Waited for the parcel for a month. Put the battery, downloaded the application (written in the liner). To turn on the keychain, you need to press the button and hold 30 seconds. With the program connected, but connects only to 1 phone. To connect to another, you need to erase from the previous one. In addition, the program is buggy: The Siren turns on when desired. And it is not convenient that it cracks every time it is removed from the Keys. In general, you can not part with the keys! Not recommend.",.....................
